id,narr-archetype,narr-optimism,narr-age,narr-family type,narr-duration,narr-spending,narr-env,narr-income,narr-mortgage percent,narr-credit,prm-house sqft,prm-lot sqft,prm-house age,prm-step,prm-suite,prm-reno_plan,prm-wall_type,prm-wall_age,prm-window_type,prm-window_age,prm-roof_type,prm-roof_age,prm-heat_eff,prm-heat_fuel,prm-heat_age,prm-dhw_eff,prm-dwh_fuel,prm-dhw_age,prm-cool_fuel,prm-leakage,prm-maintenance,prm-asbestos,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050,resp-policy1,resp-policy2,resp-policy3,resp-confidence,expqual-field,expqual-field_years,expqual-step_familiar,expqual-market_familiar,sort,resp-binary_step2,resp-binary_step3,resp-binary_step4,resp-binary_step5,resp-binary_higheff,resp-binary_carbon2050,resp-policy1_updated,resp-policy2_updated,resp-policy3_updated
mp1,1,6,3,5,3,2,1,3,5,2,1,2,2,1,0,0,1,3,1,3,1,4,1,1,4,1,1,4,1,2,2,0,6,4,2,1,3,2,5,1,6,8,3,5,3,7,6,1,1,9,0,0,0,1,1,6,8
sb2,2,3,6,1,4,1,1,2,1,nan,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,3,2,1,1,2,2,3,1,6,8,3,5,4,7,6,2,0,0,0,0,0,0,1,6,8
wc3,3,2,1,3,1,2,2,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,2,1,1,4,3,7,1,4,8,4,7,1,6,3,3,1,0,0,0,9,1,1,4,8
vs4,4,1,6,1,5,1,2,4,1,nan,2,2,3,1,0,0,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,1,3,1,1,1,3,3,1,1,4,6,4,7,2,7,6,4,0,0,0,0,0,0,1,4,6
sb2,2,4,4,3,4,1,2,3,1,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,3,2,1,1,4,3,1,1,4,6,4,7,1,7,2,5,0,0,0,0,9,0,1,4,6
wc3,3,3,2,2,1,3,3,3,4,1,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,3,0,7,3,1,1,1,3,1,1,6,8,4,7,1,6,5,6,1,0,0,0,0,0,1,6,8
vs4,4,2,3,1,1,1,1,1,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,2,1,2,1,0,1,1,1,1,3,2,7,4,5,8,4,4,3,7,6,7,0,0,0,0,0,1,4,5,8
sb2,2,5,2,2,1,3,3,3,4,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,5,5,3,1,5,2,7,4,5,8,3,7,1,6,5,8,1,1,0,0,1,1,4,5,8
wc3,3,4,2,2,1,3,3,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,3,2,1,1,3,2,4,5,8,4,7,6,6,6,9,1,0,0,0,0,0,4,5,8
vs4,4,5,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,6,5,3,1,2,3,3,4,5,8,4,7,4,1,6,10,1,1,0,0,0,0,4,5,8
mp1,1,2,4,1,5,3,2,3,1,1,1,2,2,1,0,0,1,5,1,5,1,5,1,1,4,1,1,5,1,2,4,0,2,1,1,1,1,3,1,1,5,8,3,5,6,7,6,11,0,0,0,0,0,0,1,5,8
gwh5,5,1,6,4,5,1,1,1,1,1,4,1,1,0,1,0,1,5,2,5,1,5,nan,3,5,1,1,5,1,1,3,0,2,1,1,1,1,3,1,1,8,9,3,1,3,6,5,12,0,0,0,0,0,0,1,8,6
vs4,4,3,4,1,2,2,3,3,4,3,2,2,3,1,0,1,1,4,2,4,1,3,2,1,4,2,1,4,1,2,4,0,4,3,1,1,4,3,5,1,7,9,2,5,3,7,6,13,9,0,0,0,9,1,1,7,7
mp1,1,1,4,1,4,1,3,2,1,1,1,2,2,1,0,0,1,3,1,5,1,5,1,1,5,1,1,5,1,2,3,0,2,1,1,1,1,2,7,1,6,9,2,10,6,6,5,14,0,0,0,0,0,1,1,6,7
gwh5,5,4,5,4,4,1,1,2,4,2,4,1,1,0,1,0,1,5,2,5,1,5,nan,3,5,1,1,5,1,1,4,0,2,1,1,1,4,3,6,3,7,8,2,7,6,7,7,15,0,0,0,0,9,1,3,7,8
mp1,1,4,2,2,1,1,2,2,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,1,2,2,0,5,6,3,1,4,2,6,3,8,9,3,10,3,7,6,16,1,1,0,0,9,1,3,8,6
mp1,1,4,2,2,1,1,2,2,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,1,2,2,0,5,3,3,3,6,2,7,1,4,8,4,10,3,7,6,19,1,0,0,0,1,1,1,4,8
gwh5,5,3,5,1,3,1,2,2,1,2,4,1,1,0,1,1,1,5,2,5,1,5,nan,3,5,1,1,5,1,1,4,0,5,2,2,2,5,3,7,4,6,8,3,7,6,7,7,20,1,0,0,0,1,1,4,6,8
wc3,3,1,2,3,1,2,1,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,5,5,1,1,6,3,7,1,7,8,4,7,1,6,3,21,1,1,0,0,1,1,1,7,8
vs4,4,4,3,1,1,2,3,3,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,5,1,2,3,0,5,1,1,1,5,2,3,6,9,9,4,5,4,7,6,22,1,0,0,0,1,0,6,6,6
vs4,4,1,6,1,5,1,2,4,1,nan,2,2,3,1,0,0,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,1,7,6,4,1,4,2,1,2,6,7,4,5,3,5,5,25,1,1,9,0,9,0,2,6,7
gwh5,5,6,3,2,1,3,3,2,1,2,4,1,1,0,0,1,1,5,2,5,1,5,nan,3,5,1,1,5,1,1,4,0,7,7,7,7,7,1,7,2,3,5,4,7,2,7,5,26,1,1,1,1,1,1,2,3,5
wc3,3,4,2,2,1,3,3,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,7,6,6,4,1,6,1,5,6,4,7,6,6,6,27,1,1,1,1,9,1,1,5,6
vs4,4,2,3,1,1,1,1,1,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,2,1,2,1,0,5,4,1,1,5,2,6,3,6,8,3,4,3,7,6,28,1,9,0,0,1,1,3,6,8
sb2,2,1,3,2,2,3,2,3,4,nan,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,4,0,5,4,1,1,5,3,6,3,6,8,3,7,3,7,4,29,1,9,0,0,1,1,3,6,8
wc3,3,5,2,3,1,1,2,3,4,1,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,4,2,1,3,3,7,1,6,8,3,7,1,6,3,30,1,9,0,0,0,1,1,6,8
vs4,4,3,3,1,1,2,1,2,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,5,5,3,1,3,3,5,1,2,8,3,7,4,1,6,31,1,1,0,0,0,1,1,2,8
sb2,2,2,5,1,4,1,1,3,1,1,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,1,3,5,0,7,5,3,1,5,2,5,1,7,9,3,5,3,7,6,32,1,1,0,0,1,1,1,7,9
wc3,3,6,2,2,1,3,3,3,2,nan,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,4,2,2,2,1,5,1,4,7,3,5,3,7,5,33,1,9,0,0,0,1,1,4,7
